data_year,victim_id,injury_id
2022,173394939,4
2022,174175219,5
2022,174175228,4
2022,174175228,6
2022,174175230,4
2022,174175234,4
2022,177481386,4
2022,175090796,4
2022,175090812,4
2022,175090818,5
2022,175090823,5
2022,177481396,5
2022,177481398,4
2022,177481405,4
2022,177481439,5
2022,179961740,5
2022,179961765,3
2022,179961786,5
2022,179961830,4
2022,181784983,8
2022,162326696,4
2022,162326697,4
2022,162326698,4
2022,161735237,4
2022,182059317,5
2022,181784997,5
2022,181784998,4
2022,181784999,4
2022,181785010,6
2022,184064095,4
2022,182059318,5
2022,161856978,4
2022,184071535,5
2022,173375850,3
2022,173375851,4
2022,164108184,5
2022,173377999,4
2022,173378017,5
2022,173378022,2
2022,173378022,6
2022,173378024,5
2022,173378037,4
2022,173378038,5
2022,173378039,5
2022,173378041,4
2022,173378042,4
2022,173378042,6
2022,173378044,5
2022,173378052,4
2022,173378059,4
2022,173439409,4
2022,173439410,4
2022,173439411,4
2022,173439413,4
2022,161856980,5
2022,173439416,6
2022,175055650,4
2022,175055654,5
2022,175055658,4
2022,176379591,6
2022,176379592,6
2022,176379593,6
2022,176379594,6
2022,176379595,6
2022,176379603,5
2022,179962308,4
2022,181410313,4
2022,181410325,5
2022,181410327,5
2022,181410329,4
2022,181410334,4
2022,181410351,5
2022,170875742,5
2022,171785376,4
2022,186639200,4
2022,186884873,6
2022,186884889,5
2022,186884890,5
2022,186884895,4
2022,186884901,5
2022,170875743,4
2022,167172734,5
2022,170966371,2
2022,187628037,5
2022,187628038,4
2022,187628039,4
2022,187628040,4
2022,170950632,4
2022,161856983,3
2022,163274913,5
2022,187628051,5
2022,174929818,5
2022,187628058,4
2022,187628061,4
2022,187628062,6
2022,187628064,1
2022,187628071,4
2022,187628072,5
2022,187628074,4
2022,187628075,4
2022,187628078,4
2022,187628079,4
2022,187628081,4
2022,187628083,4
2022,187628086,4
2022,187628087,5
2022,187628088,6
2022,187628090,6
2022,187628096,5
2022,174929819,5
2022,168319862,4
2022,163274914,5
2022,171043666,4
2022,184071536,8
2022,162963047,5
2022,172045778,4
2022,172045779,3
2022,172999070,5
2022,172999071,4
2022,181548240,5
2022,170956747,5
2022,172355995,5
2022,188580914,6
2022,172355997,5
2022,162251909,3
2022,162909014,4
2022,188580926,4
2022,162909015,5
2022,162909016,4
2022,162857555,4
2022,179958034,5
2022,188580935,4
2022,188580940,4
2022,188580941,4
2022,188280875,2
2022,171043667,4
